name,mispred,accuracy
SHORT_SERVER-1,3680344.0,0.9774040771010604
SHORT_SERVER-10,449045.0,0.9966552255310711
SHORT_SERVER-100,833734.0,0.9246567784942687
SHORT_SERVER-101,2330219.0,0.9153113762548729
SHORT_SERVER-102,1667148.0,0.9640627740657318
SHORT_SERVER-103,2554521.0,0.9204262773977285
SHORT_SERVER-104,242421.0,0.9796596201410714
SHORT_SERVER-105,334022.0,0.9544450642295926
SHORT_SERVER-106,464752.0,0.9563665874368046
SHORT_SERVER-107,1744159.0,0.8873330699940862
SHORT_SERVER-108,1284437.0,0.9296191383962733
SHORT_SERVER-109,780557.0,0.9536452346713076
SHORT_SERVER-11,1762279.0,0.9762057466068279
SHORT_SERVER-110,307489.0,0.9814147580199548
SHORT_SERVER-111,697650.0,0.9590776831862451
SHORT_SERVER-112,1281660.0,0.9179947480961512
SHORT_SERVER-113,486561.0,0.9605698366515484
SHORT_SERVER-114,1753868.0,0.9484874298253619
SHORT_SERVER-115,1638845.0,0.94988691688456
SHORT_SERVER-116,1596204.0,0.9661808425440799
SHORT_SERVER-117,1558911.0,0.9533908005648317
SHORT_SERVER-118,1414887.0,0.964433370678344
SHORT_SERVER-119,1997010.0,0.9439357370323546
SHORT_SERVER-12,755120.0,0.9954504604474796
SHORT_SERVER-120,1126132.0,0.9706246134172289
SHORT_SERVER-121,1478216.0,0.9591934795298108
SHORT_SERVER-122,1012147.0,0.9733738836839732
SHORT_SERVER-123,2093515.0,0.9384080808018995
SHORT_SERVER-124,42926.0,0.9943090551859639
SHORT_SERVER-125,87947.0,0.9916306480421376
SHORT_SERVER-126,1899798.0,0.9222014705567392
SHORT_SERVER-127,2257795.0,0.8998099633350158
SHORT_SERVER-128,815182.0,0.9123342573282952
SHORT_SERVER-129,1053045.0,0.8923360884438107
SHORT_SERVER-13,1241445.0,0.9957002402773389
SHORT_SERVER-130,6031439.0,0.8785028042134522
SHORT_SERVER-131,2017201.0,0.9320951807497002
SHORT_SERVER-132,1193585.0,0.9599653059596698
SHORT_SERVER-133,6423712.0,0.8379348380032596
SHORT_SERVER-133-1,3637790.0,0.8442699950803944
SHORT_SERVER-133-2,2785922.0,0.8288430615881806
SHORT_SERVER-134,4260754.0,0.8850222421001995
SHORT_SERVER-135,3416462.0,0.911471058241627
SHORT_SERVER-136,5795456.0,0.8566743589013083
SHORT_SERVER-136-1,3740752.0,0.8635059790059665
SHORT_SERVER-136-2,2054704.0,0.8423049662672046
